unidade,uf,cidade,nome,ativa
UBL,MG,UBERLANDIA-MG,RAPIDO EXPRESSO,S
UBR,MG,UBERABA-MG,LETS EXPRESS -,S
UMA,PR,MARINGA-PR,SET CINCO TRANS,N
UMR,PR,UMUARAMA-PR,E L S MARTINS T,S
UMU,PR,UMUARAMA-PR,UMU.LOG,N
URA,PR,UMUARAMA-PR,LUDEWIG E CAVAC,S
URG,RS,URUGUAIANA-RS,JK TRANSPORTES,N
URU,RS,SANTO ANGELO-RS,ELOI NERI WEBER,S
VAC,RS,LAGOA VERMELHA-RS,ICM TRANSPORTES,N
VAR,MG,VARGINHA-MG,CONECTELOG SOLU,N
VCA,BA,VITORIA DA CONQUISTA,LOG STOPASSOLLI,S
VCO,BA,VITORIA DA CONQUISTA,SPD LOGISTICA L,N
VCP,SP,CAMPINAS-SP,FAST LOG SERVIC,N
VCR,RS,CAXIAS DO SUL-RS,SER DISTRIBUIDO,S
VDA,BA,VITORIA DA CONQUISTA,LGP SERVICOS LT,S
VDC,BA,VITORIA DA CONQUISTA,GUERREIRO COVAS,N
VIC,ES,SERRA-ES,DELUNA SOLUCOES,S
VIR,ES,SERRA-ES,DELUNA SOLUCOES,S
VIT,ES,CARIACICA-ES,SEGURANCA PATRI,S
VIV,SP,JUNDIAI-SP,DLG JUNDIAI VIA,S
VIX,ES,CARIACICA-ES,CP DISTRIBUICAO,S
VNI,ES,CARIACICA-ES,CP DISTRIBUICAO,S
VTC,BA,VITORIA DA CONQUISTA,TRANSPARRA LTDA,N
XAP,SC,CHAPECO-SC,TRYX SOLUCOES,N
XEX,SC,XANXERE-SC,X EXPRESS TRANS,S
