unidade,uf,cidade,nome,ativa
CPR,PR,CURITIBA-PR,CORREIOS PR,N
CRC,SC,CRICIUMA-SC,PRIME LOGISTICA,S
CRI,SC,ICARA-SC,TRENO TRANSPORT,S
CRS,RS,PORTO ALEGRE-RS,CORREIOS RS,N
CSC,SC,FLORIANOPOLIS-SC,CORREIOS SC,N
CSP,SP,JUNDIAI-SP,CORREIOS SP,S
CTB,PR,SAO JOSE DOS PINHAIS,SEGURANCA PATRI,S
CTG,MG,CONTAGEM-MG,SEGURANCA PATRI,S
CVL,PR,CASCAVEL-PR,J. ANDREOLA E C,N
CW1,PR,CURITIBA-PR,LONDONLOG,N
CW2,PR,SAO JOSE DOS PINHAIS,DLG CURITIBA DI,S
CW3,PR,CURITIBA-PR,NOVA SERVICOS D,N
CWB,PR,SAO JOSE DOS PINHAIS,DLG CURITIBA,S
CWD,PR,SAO JOSE DOS PINHAIS,DLG CURITIBA,S
CWR,PR,SAO JOSE DOS PINHAIS,DIALOGO REDESPA,S
CWZ,PR,SAO JOSE DOS PINHAIS,DLG MM AMAZON P,S
CX1,RS,CAXIAS DO SUL-RS,DLG CAXIAS DO S,S
CXD,RS,CAXIAS DO SUL-RS,SER  LOGISTICA,S
CXS,RS,CAXIAS DO SUL-RS,TRANSUL MULTILO,N
CXW,RS,CAXIAS DO SUL-RS,LOGISTICA EXPRE,N
CZO,RS,CARAZINHO-RS,CORREIO DO POVO,N
DEP,SP,JUNDIAI-SP,ALMOXARIFADO DL,S
DEV,SP,JUNDIAI-SP,DEVOLUCOES DIAL,S
DFA,DF,GAMA-DF,DIALOGO LOGISTI,N
DFB,DF,GAMA-DF,DIALOGO LOGISTI,S
DFE,DF,NUCLEO BANDEIRANTE-D,MIDIA DISTRIBUI,N
DFM,RS,PORTO ALEGRE-RS,GASTOS CORP. DI,S
DLL,RS,PORTO ALEGRE-RS,LOJA DIALOGO,N
DLP,PR,CURITIBA-PR,CLIENTES P/M PR,N
DLS,SC,SAO JOSE-SC,CLIENTES P/M SC,N
DV,MG,DIVINOPOLIS-MG,Alias histórico,S
EGN,RJ,RIO DE JANEIRO-RJ,WC LOG,S
EPD,ES,VITORIA-ES,DEVOLUCOES DIAL,S
EPR,ES,VITORIA-ES,DLG ESPIRITO SA,S
EPT,ES,VITORIA-ES,DLG ESPIRITO SA,S
ERC,RS,ERECHIM-RS,SB LOGISTICA,S
ERE,RS,ERECHIM-RS,POINT TRANSPORT,N
ERM,RS,ERECHIM-RS,ASTEROIDE TRANS,N
ERP,ES,VITORIA-ES,DLG ESPIRITO SA,N
ESZ,ES,VITORIA-ES,DEVOLUCOES DIAL,S
EXT,MG,EXTREMA-MG,DLG BH,S
FAC,PR,SAO JOSE DOS PINHAIS,GASTOS CORPORAT,S
FBE,PR,FRANCISCO BELTRAO-PR,MURICI TRANSPOR,S
FBT,PR,FRANCISCO BELTRAO-PR,X EXPRESS TRANS,S
FDS,BA,FEIRA DE SANTANA-BA,DIFEL LOGISTICA,S
FEC,RS,PORTO ALEGRE-RS,FECHADA,S
FEI,BA,FEIRA DE SANTANA-BA,BRJ EXPRESSO TR,N
FIS,MG,EXTREMA-MG,FISIA COMERCIO,S
FL1,SC,PALHOCA-SC,DLG FLORIANOPOL,N
FL2,SC,PALHOCA-SC,DLG FLORIANOPOL,S
FLD,SC,PALHOCA-SC,DLG FLORIANOPOL,S
FLI,SC,PALHOCA-SC,DLG FLORIANOPOL,S
FLN,SC,PALHOCA-SC,DLG FLORIANOPOL,S
FLP,SC,PALHOCA-SC,SEGURANCA PATRI,S
FLR,SC,PALHOCA-SC,DIALOGO REDESPA,S
FLX,SC,SAO JOSE-SC,DLG EXPRESSA FL,N
FLZ,SC,PALHOCA-SC,DLG MM AMAZON S,S
FOR,CE,FORTALEZA-CE,LOSUNG EXPRESS,N
FOZ,PR,CASCAVEL-PR,SET CINCO TRANS,N
FRE,RS,CARAZINHO-RS,BUENAS EXPRESS,N
FRL,RS,PORTO ALEGRE-RS,FREE LANCER MOT,N
FRT,RS,PORTO ALEGRE-RS,FROTA,N
FTZ,CE,FORTALEZA-CE,CEARA EXPRESS,N
FWN,RS,FREDERICO WESTPHALEN,EXCLUSIVA DISTR,S
FZA,CE,FORTALEZA-CE,GN LOGISTICA,S
GAP,SC,GAROPABA-SC,VIDEO 7,N
GIG,RJ,RIO DE JANEIRO-RJ,DLG RIO DE JANE,S
GLV,MG,GOVERNADOR VALADARES,LUCIANA BRANDAO,N
GOC,SP,JUNDIAI-SP,DLG GOCASE,S
GOI,GO,APARECIDA DE GOIANIA,DIALOGO LOGISTI,S
GOZ,GO,APARECIDA DE GOIANIA,DIALOGO APARECI,S
GP1,RS,GRAVATAI-RS,DLG PORTO ALEGR,S
GP2,RS,NOVO HAMBURGO-RS,JETLOG,N
GPA,RS,CANOAS-RS,METRO EXPRESS,N
GPB,PR,GUARAPUAVA-PR,UERBALOG ENTREG,N
GPI,RS,GRAVATAI-RS,Alias histórico de GP1,S
GPV,PR,GUARAPUAVA-PR,MURICI TRANSPOR,S
GRI,PR,CURITIBA-PR,TRANSPORTES GRI,N
GRP,ES,VITORIA-ES,CP DISTRIBUICAO,S
GRU,SP,GUARULHOS-SP,K. S. SOUZA TRA,N
GSP,SC,GASPAR-SC,SEGURANCA PATRI,S
GTI,RS,GRAVATAI-RS,EDUARDO SILVA D,N
GUA,PR,GUARAPUAVA-PR,X EXPRESS TRANS,S
GUB,RS,GUAIBA-RS,MICHELON LOGIST,S
GVA,MG,BELO HORIZONTE-MG,DIRECT DELIVERY,N
GVL,MG,GOVERNADOR VALADARES,LUCIANA BRANDAO,S
GVR,MG,GOVERNADOR VALADARES,DIRECT DELIVERY,N
GVT,RS,GRAVATAI-RS,SEGURANCA PATRI,S
GXP,MG,GUAXUPE-MG,ENCOMENDAS MART,N
GYN,GO,APARECIDA DE GOIANIA,DIALOGO LOGISTI,S
HUB,SP,JUNDIAI-SP,DLG HUB,S
IBI,RS,IBIRUBA-RS,SS IBIRUBA TRAN,N
IJI,RS,IJUI-RS,A. L. LOGISTICA,S
IJU,RS,IJUI-RS,JADLOGISTICA,N
ILH,RJ,RIO DE JANEIRO-RJ,WC LOG,S
IOS,BA,FEIRA DE SANTANA-BA,TRANSPORTES E M,N
IPG,MG,IPATINGA-MG,DIRECT DELIVERY,N
IPT,MG,IPATINGA-MG,EXPRESSO ROSARI,S
ISC,SC,PALHOCA-SC,ISCAS DIALOGO,N
ITA,BA,ITABUNA-BA,MGLOG  ENTREGAS,N
ITB,MG,UBERLANDIA-MG,RAPIDO EXPRESSO,S
ITI,SC,ITAJAI-SC,EDUARDA BRANCO,N
ITJ,SC,ITAJAI-SC,ALTO VALE TRANS,N
ITM,RJ,ITABORAI-RJ,WC LOG,S
ITN,SC,LAGES-SC,ITANAVE CENTRO,N
ITU,GO,ITUMBIARA-GO,LET'S EXPRESS,S
ITZ,SC,ITAJAI-SC,JJL TRANSPORTES,S
IVP,PR,IVAIPORA-PR,TRANS DALL'PRA,N
JAB,PE,JABOATAO DOS GUARARA,DLG JABOATAO DO,S
JAP,RJ,JAPERI-RJ,WC LOG,S
JAU,SP,JAU-SP,ANA CLAUDIA CLE,N
JCA,SC,JOACABA-SC,MOACIR PILONETO,S
JCS,SC,BALNEARIO PICARRAS-S,JCS BRASIL ELET,S
JDF,MG,JUIZ DE FORA-MG,PMT LOGISTICA L,S
JDI,SP,JUNDIAI-SP,TIME DISTRIBUIC,S
JDO,CE,FORTALEZA-CE,GN LOGISTICA,S
JFO,MG,JUIZ DE FORA-MG,DLI COLETAS E E,S
JGR,RS,PORTO ALEGRE-RS,JANGAR LTDA,N
JGS,SC,JARAGUA DO SUL-SC,HELLO ECOMERCE,S
JND,SP,JUNDIAI-SP,DLG JUNDIAI,S
JNR,SP,JUNDIAI-SP,DIALOGO JUNDIAI,S
JNS,SP,JUNDIAI-SP,DLG JUNDIAI,S
JOI,SC,JOINVILLE-SC,ALTO VALE TRANS,N
JON,ES,VITORIA-ES,CP DISTRIBUICAO,S
JOV,SC,JOINVILLE-SC,DIALOGO LOGISTI,S
JPA,PB,JOAO PESSOA-PB,MARINHO DISTRIB,N
JPE,PB,JOAO PESSOA-PB,LOG SERV. E PAR,S
JPR,PB,JOAO PESSOA-PB,DIALOGO JOAO PE,S
JRM,RS,PORTO ALEGRE-RS,GASTOS CORP. JU,S
JUN,SP,JUNDIAI-SP,DLG JUNDIAI,N
JV2,SC,JOINVILLE-SC,DIALOGO LOGISTI,S
JVE,SC,JOINVILLE-SC,JLC DISTRIBUIDO,N
JVL,SC,JOINVILLE-SC,CARGAS JOINVILL,N
JVO,SC,JOINVILLE-SC,A FEIRA ONLINE,N
JVS,SC,JOINVILLE-SC,SEGURANCA PATRI,S
JZF,MG,JUIZ DE FORA-MG,SAVINO EXPRESS,S
KAL,SP,BARUERI-SP,DLG JUNDIAI KAL,S
LAG,SC,LAGES-SC,EXPRESSO  SEGUR,N
LBE,MG,CONTAGEM-MG,TRANSLAG TRANSP,N
LBO,MG,CONTAGEM-MG,TRANSLAG TRANSP,N
LBR,DF,GAMA-DF,TRANSLAG BRASIL,N
LCA,SP,CAJAMAR-SP,TRANSLAG TRANSP,N
LDA,PR,IBIPORA-PR,MURICI TRANSPOR,S
LDB,PR,LONDRINA-PR,ATIVA EXPRESS,N
LDR,PR,LONDRINA-PR,ATIVA EXPRES,S
LDR0,PR,LONDRINA-PR,Alias histórico de LDR,S
LGE,SC,LAGES-SC,DIGRAPLAN,S
LGR,SC,LAGES-SC,DIGRAPLAN,N
LGV,RS,LAGOA VERMELHA-RS,ICM TRANSPORTES,N
LIL,PR,PARANAGUA-PR,AMARILIO FRANCI,S
LIN,ES,COLATINA-ES,MOTO EXPRESS,S
LIR,RS,NOVO HAMBURGO-RS,ELO LOGISTICA,N
LIT,PR,PARANAGUA-PR,TVL EXPRESS,N
LJD,RS,LAJEADO-RS,MISSOES DIST. D,S
LJO,PR,CURITIBA-PR,SUNSHINE ENCOME,N
LN2,PR,LONDRINA-PR,DIALOGO EDSP LO,S
LNA,PR,IBIPORA-PR,SEGURANCA PATRI,S
LNH,ES,VITORIA-ES,CP DISTRIBUICAO,S
LOD,PR,LONDRINA-PR,DLG LONDRINA,N
LOG,RS,PORTO ALEGRE-RS,LOGTIME,N
LON,PR,LONDRINA-PR,DLG LONDRINA,N
LOR,PR,LONDRINA-PR,DLG LONDRINA,N
LUX,SP,SUMARE-SP,DLG JUNDIAI LUX,S
M3P,SP,JUNDIAI-SP,DIALOGO MAGAZIN,N
MAB,MG,CONTAGEM-MG,DLG JUNDIAI MAN,S
MAG,SP,LOUVEIRA-SP,DLG JUNDIAI MAG,N
MAN,SP,SAO PAULO-SP,DLG JUNDIAI MAN,S
MAR,PR,MARINGA-PR,DIALOGO LOGISTI,S
MAT,ES,CARIACICA-ES,CP DISTRIBUICAO,S
MCZ,AL,MACEIO-AL,LOG SERVICOS E,S
MES,RJ,NILOPOLIS-RJ,WC LOG,S
MG2,PR,MARINGA-PR,DIALOGO LOGISTI,S
MGA,PR,MARINGA-PR,SET CINCO TRANS,N
MGF,PR,MARINGA-PR,DV PUBLICACOES,N
MGM,PR,MARINGA-PR,DISTRIBUIDORA S,N
MGR,PR,MARINGA-PR,SET CINCO TRANS,N
MLU,RS,CAXIAS DO SUL-RS,DLG PA MAGALU C,N
MNG,PR,MARINGA-PR,ATIVA EXPRESS,N
MRA,PR,MARINGA-PR,MOTA E BAPTISTA,S
MRG,PR,MARINGA-PR,MURICI TRANSPOR,S
MRI,PR,MARINGA-PR,SEGURANCA PATRI,S
MTD,RS,MOSTARDAS-RS,CD MOSTARDAS,N
MTZ,RS,PORTO ALEGRE-RS,MATRIZ,S
NAT,RS,CANOAS-RS,DLG NATURA,N
NEP,DF,BRASILIA-DF,PA CLIENTE NESP,S
NES,SP,ARACARIGUAMA-SP,DIALOGO LOGISTI,S
NHB,RS,NOVO HAMBURGO-RS,ELO LOGISTICA,N
NHO,RS,NOVO HAMBURGO-RS,FAMILIA JAVONI,N
NOW,SP,JUNDIAI-SP,NOW SP - EXTRAV,N
NPO,RS,PORTO ALEGRE-RS,NESPRESSO PORTO,S
NTA,RN,NATAL-RN,LS ENTREGAS LTD,S
NTL,RN,PARNAMIRIM-RN,LOG SERVICOS E,S
NVG,RJ,NOVA IGUACU-RJ,WC LOG,S
NVN,ES,VITORIA-ES,CP DISTRIBUICAO,S
NVO,RS,NOVO HAMBURGO-RS,SER DISTRIBUICA,S
NVU,RJ,NOVA IGUACU-RJ,WC LOG,S
OBK,SP,JUNDIAI-SP,DLG OBK,S
OLA,RJ,RIO DE JANEIRO-RJ,WC LOG,S
OSO,RS,OSORIO-RS,CSN TRANSPORTES,N
PA1,RS,CACHOEIRINHA-RS,DLG PORTO ALEGR,S
PA2,RS,PORTO ALEGRE-RS,MOVILOG TRANSPO,N
PAF,RS,PASSO FUNDO-RS,MAROSTICA DISTR,N
PAR,PR,PARANAVAI-PR,EKADY TRANSPORT,N
PAS,RS,PASSO FUNDO-RS,MDS EXPRESS LOG,N
